1,11,4,8,4,2,0,TankShot,
2,13,4,9,5,3,0,,
3,17,5,12,8,3,0,TankHumanCannon,
4,19,6,13,9,4,0,,
5,22,7,15,11,5,0,TankWildShot,
6,24,8,17,12,5,0,,
7,28,9,19,12,6,0,TankDefense,
8,31,10,21,12,6,0,,
9,34,11,23,13,7,0,,
10,37,12,25,14,8,0,TankBeam,
11,41,13,27,16,8,0,,
12,45,14,29,17,9,0,,
13,48,15,31,17,10,0,,
14,53,16,33,17,11,0,,
15,57,17,35,19,12,0,TankRepair,
16,61,19,38,19,12,0,,
17,65,19,39,19,13,0,,
18,69,20,42,20,14,0,,
19,75,22,43,25,15,0,,
20,79,23,46,37,16,0,,
21,84,24,47,40,17,0,TankHeatShot,
22,89,25,50,42,18,0,,
23,95,26,52,45,19,0,,
24,100,28,54,46,20,0,,
25,106,29,56,50,21,0,,
26,111,30,58,51,22,0,,
27,117,31,60,53,23,0,TankBeam2,
28,122,32,63,56,24,0,,
29,128,34,64,58,25,0,,
30,134,35,67,60,26,0,,
31,141,36,68,61,27,0,,
32,146,37,71,62,28,0,,
33,153,38,74,66,29,0,,
34,160,40,75,67,30,0,,
35,167,41,78,70,32,0,,
36,174,43,80,72,33,0,,
37,180,44,81,73,34,0,,
38,188,45,84,74,35,0,,
39,195,47,87,76,36,0,,
40,202,48,88,79,38,0,,
41,210,49,91,82,39,0,,
42,218,51,93,84,40,0,,
43,226,52,95,85,42,0,,
44,233,53,97,88,43,0,,
45,242,55,100,83,45,0,,
46,250,56,101,91,46,0,,
47,259,58,104,94,47,0,,
48,266,59,107,96,49,0,,
49,275,61,108,97,50,0,,
50,284,62,111,100,52,0,,
